"filename", "language", "JSON with Comments", "CSS", "YAML", "JSON", "TypeScript", "TypeScript JSX", "HTML", "comment", "blank", "total"
"d:\Development\Echo\Echo.UI\Web\src\core\user\index.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Development\Echo\Echo.UI\Web\src\core\user\native\index.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Development\Echo\Echo.UI\Web\src\core\user\native\native.ts", "TypeScript", 0, 0, 0, 0, 56, 0, 0, 0, 16, 72
"d:\Development\Echo\Echo.UI\Web\src\core\user\user.ts", "TypeScript", 0, 0, 0, 0, 104, 0, 0, 0, 22, 126
"d:\Development\Echo\Echo.UI\Web\src\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 25, 0, 5, 6, 36
"d:\Development\Echo\Echo.UI\Web\src\ui\Account\Creation\AccountCreationDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 79, 0, 0, 10, 89
"d:\Development\Echo\Echo.UI\Web\src\ui\Contacts\ContactList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 191, 0, 16, 36, 243
"d:\Development\Echo\Echo.UI\Web\src\ui\Contacts\ContactListItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 65, 0, 0, 12, 77
"d:\Development\Echo\Echo.UI\Web\src\ui\Contacts\index.ts", "TypeScript", 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
"d:\Development\Echo\Echo.UI\Web\src\ui\Contacts\useFetchContacts.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 6, 26
"d:\Development\Echo\Echo.UI\Web\src\ui\Messaging\ConversationMessageItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 25, 0, 8, 8, 41
"d:\Development\Echo\Echo.UI\Web\src\ui\Messaging\KickDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 123, 0, 0, 23, 146
"d:\Development\Echo\Echo.UI\Web\src\ui\Shell\ComposeBox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 112, 0, 0, 11, 123
"d:\Development\Echo\Echo.UI\Web\src\ui\Shell\Shell.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"d:\Development\Echo\Echo.UI\Web\src\ui\Shell\index.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Development\Echo\Echo.UI\Web\src\ui\useServiceProviderContext.ts", "TypeScript", 0, 0, 0, 0, 17, 0, 0, 0, 3, 20
"d:\Development\Echo\Echo.UI\Web\src\utils\ComposableProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 4, 21
"d:\Development\Echo\Echo.UI\Web\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\Development\Echo\Echo.UI\Web\tsconfig.json", "JSON with Comments", 34, 0, 0, 0, 0, 0, 0, 0, 0, 34
"d:\Development\Echo\Echo.UI\Web\tsconfig.node.json", "JSON", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"d:\Development\Echo\Echo.UI\Web\vite.config.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 1, 2, 8
"d:\Development\Echo\Echo.UI\package-lock.json", "JSON", 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"Total", "-", 41, 9, 1, 4374, 396, 1155, 13, 132, 249, 6370
